user_id,total_spent,total_returned,net_spend_ratio,loyalty_score,perk,points_per_dollar,return_window_days,fraud_risk
8917,2236.52,0.0,1.0,0.7490247032056567,Diamond,17.490247032056566,60,0
1781,1974.69,0.0,1.0,0.7339386501103221,Diamond,17.33938650110322,60,0
9479,2187.41,323.18,0.8522544927562734,0.7315023442734008,Diamond,12.315023442734008,45,1
7659,2993.65,0.0,1.0,0.7203222993260099,Platinum,17.2032229932601,60,0
8556,1993.4,0.0,1.0,0.71581552412056,Diamond,17.1581552412056,60,0
5831,1941.32,0.0,1.0,0.7153826884161799,Diamond,17.153826884161802,60,0
7488,1349.6100000000001,0.0,1.0,0.7062662585163332,Diamond,17.06266258516333,60,0
8392,2968.3,241.4,0.9186739884782535,0.7024321255344115,Diamond,17.024321255344116,45,0
9141,1463.83,0.0,1.0,0.7021320130123827,Diamond,17.021320130123826,60,0
2658,1646.97,0.0,1.0,0.7010844664172283,Diamond,17.010844664172282,60,0
5475,1845.3899999999999,0.0,1.0,0.7002447894606117,Diamond,17.002447894606117,60,0
4288,2467.45,0.0,1.0,0.6992908332410396,Diamond,16.992908332410398,60,0
7497,1523.16,0.0,1.0,0.6971014770637537,Diamond,16.971014770637538,60,0
4794,1848.99,0.0,1.0,0.6947977039055684,Diamond,16.947977039055683,60,0
5274,1813.04,0.0,1.0,0.6937145104282311,Platinum,16.937145104282312,60,0
5437,2310.38,0.0,1.0,0.6930430753424285,Platinum,16.930430753424286,60,0
3042,1876.28,0.0,1.0,0.6918320879826835,Diamond,16.918320879826837,60,0
6179,1218.53,52.81,0.9566608946845789,0.6912942344624232,Platinum,11.912942344624234,60,1
5339,1266.0,0.0,1.0,0.6891005781079722,Diamond,16.891005781079723,60,0
5361,2127.45,0.0,1.0,0.6890464443037745,Diamond,16.890464443037743,60,0
6508,2533.0,0.0,1.0,0.6881345780357198,Diamond,16.881345780357197,60,0
2893,1771.51,140.26,0.9208246072559568,0.6880657586252098,Diamond,11.880657586252097,45,1
7531,1812.8899999999999,0.0,1.0,0.6868918090266946,Platinum,16.868918090266945,60,0
6880,1348.05,0.0,1.0,0.6860172346474244,Platinum,16.860172346474243,60,0
5194,1844.02,99.63,0.9459713018296981,0.6836425363816898,Diamond,11.836425363816899,45,1
1757,1871.23,0.0,1.0,0.6825890195855004,Diamond,16.825890195855003,60,0
7937,1288.64,0.0,1.0,0.6817019258081632,Diamond,16.817019258081633,60,0
5309,1779.67,0.0,1.0,0.6770524881280285,Diamond,16.770524881280284,60,0
2250,2000.0300000000002,102.32,0.9488407673884892,0.6769909905996261,Diamond,16.76990990599626,45,0
3333,924.9000000000001,29.73,0.9678559844307493,0.6769502878165876,Gold,16.769502878165877,60,0
2177,1704.6799999999998,0.0,1.0,0.6747929977562476,Platinum,16.747929977562475,60,0
6353,1782.5700000000002,0.0,1.0,0.6733519879516735,Platinum,16.733519879516734,60,0
1752,2439.58,0.0,1.0,0.6721884683911146,Platinum,16.721884683911146,60,0
3357,914.49,39.05,0.9572986035932596,0.6721611511442519,Platinum,11.721611511442518,60,1
8332,1728.67,0.0,1.0,0.6707178499894589,Platinum,16.70717849989459,60,0
6350,1897.1,0.0,1.0,0.6699846586775651,Platinum,16.69984658677565,60,0
2199,1261.61,0.0,1.0,0.6685137595139133,Diamond,16.685137595139135,60,0
5939,1244.1299999999999,0.0,1.0,0.6684921279053655,Platinum,16.684921279053654,60,0
